Product Name,Price,Rating,RAM/ROM,Camera,Display,Battery,Warranty
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹10,899",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
KARBONN K9,"₹1,299",4.2,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) FWVGA Display,2MP + 0MP | 0MP Front Camera,1800 mAh Battery,1 Year Manufacture Warranty
"Samsung M06 5G (Blazing Black, 128 GB)","₹10,274",3.9,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
LAVA A7 Torch+,"₹1,559",4,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Quarter QVGA Display,0.3MP + 0MP | 0MP Front Camera,2574 mAh Battery,1 Year Handset Domestic warranty
"Samsung Galaxy A55 5G (Awesome Navy, 128 GB)","₹24,954",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP | 32MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Kechaoda A26,₹884,4,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery,NO WARRANTY
"Apple iPhone 16 (Pink, 128 GB)","₹69,900",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",Not Available
"Apple iPhone 16 (Pink, 256 GB)","₹79,900",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",Not Available
"Samsung M36 5G (Serene Green / Light Green, 128 GB)","₹15,860",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"Samsung M36 5G (Orange Haze / Orange, 128 GB)","₹16,948",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"Apple iPhone 16 (Ultramarine, 256 GB)","₹79,900",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",Not Available
"POCO X7 Pro 5G (Nebula Green, 256 GB)","₹21,999",4.3,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP | 20MP Front Camera,6550 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Ai+ Pulse (Sparkle Red, 64 GB)","₹4,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Apple iPhone 17 Pro Max (Deep Blue, 256 GB)","₹1,49,900",4.8,256 GB ROM,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Not Available
"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹8,760",4.3,4 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP Rear Camera,5160 mAh Battery,Not Available
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹11,499",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,919",3.8,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,NA
"realme 15x 5G (Maroon Red, 128 GB)","₹16,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.27 cm (6.8 inch) Display,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 15x 5G (Marine Blue, 128 GB)","₹17,999",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.27 cm (6.8 inch) Display,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
LAVA A2 Smart,"₹1,299",4,4 MB RAM | 24 MB ROM,6.1 cm (2.4 inch) HVGA Display,1.3MP + 0MP | 0MP Front Camera,1200 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹10,499",4.4,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"KARBONN K9 Jumbo,Dual Keypad Mobile,2.4 Big LCD,2MP Camera,1800mAh Battery,FM,Vibratore","₹1,364",4.1,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP + 0MP | 2MP Front Camera,1800 mAh Battery,Not Available
"Samsung M06 5G (Sage Green, 128 GB)","₹10,699",3.9,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"IQOO Z10X 5G (Titanium, 256 GB)","₹17,264",4.4,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery,Not Available
"Samsung M06 5G (Sage Green, 128 GB)","₹10,699",3.9,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"realme C71 (Sea Blue, 64 GB)","₹7,490",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Apple iPhone 14 (Starlight, 128 GB)","₹54,900",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",Not Available
"REDMI A4 (Sparkle Purple, 128 GB)","₹8,830",4.3,4 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP Rear Camera,5160 mAh Battery,Not Available
Jio Bharat V3,₹809,3.6,36 MB RAM | 36 MB ROM,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1000 mAh Battery,Not Available
"Samsung M36 5G (Velvet Black / Black, 128 GB)","₹17,178",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"realme C71 (Obsidian Black, 64 GB)","₹7,489",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.4,12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Quad HD+ Display,48MP + 13MP + 10.8MP | 10.5MP Front Camera,4970 mAh Battery,1 Year Domestic Warranty
"Moto g06 power (Laurel Oak, 64 GB)","₹7,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
Kechaoda A27,₹889,4,32 MB RAM | 32 MB ROM,4.27 cm (1.68 inch) Display,0MP Front Camera,800 mAh Battery,Not Available
"vivo T4R 5G (Arctic White, 128 GB)","₹19,499",4.5,8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Display,50MP (OIS) + 2MP | 32MP Front Camera,5700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Buttons","₹2,185",4,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,NO WARRANTY
"CMF by Nothing Phone 2 Pro (Orange, 256 GB)","₹19,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"IQOO Z10X 5G (Ultramarine, 128 GB)","₹14,249",4.4,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery,Not Available
"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)","₹19,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999",4.5,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,80W SUPERVOOC Charger
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)","₹19,999",4.5,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,80W SUPERVOOC Charger
"Ai+ Pulse (Black, 64 GB)","₹5,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999",4.4,6 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery,1 Year Warranty for Handset and 6 Months Warranty for Accessories
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹13,499",4.3,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories
"POCO C71 (Desert Gold, 64 GB)","₹6,199",3.8,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,329",3.8,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES
"vivo Y19e (Majestic Green, 64 GB)","₹7,998",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) Display,13MP + 0.08MP | 5MP Front Camera,5500 mAh Battery,1 Year Warranty on the Product and 6 Months Warranty on the Accessories
"Samsung Galaxy F36 5G (Black, 128 GB)","₹16,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Jio JioBharat V4 Keypad Phone,₹809,3.7,512 MB RAM | 4 GB ROM,4.32 cm (1.7 inch) HD Display,0.3MP Rear Camera,1000 mAh Battery,Not Available
LAVA A2 Smart,"₹1,298",4,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) HVGA Display,1.3MP + 0MP | 0MP Front Camera,1200 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology
LAVA A3 Torch,"₹1,339",4.1,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) HVGA Display,0.3MP + 0MP | 0MP Front Camera,1750 mAh Battery,1 Year Handset Domestic warranty
LAVA A3 Torch,"₹1,319",4.1,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) HVGA Display,0.3MP + 0MP | 0MP Front Camera,1750 mAh Battery,1 Year Handset Domestic warranty
"LAVA Bold N1 Pro (Titanium Gold, 128 GB)","₹7,598",4,4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,Not Available
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,938",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery,Not Available
"IQOO Z10X 5G (Titanium, 128 GB)","₹15,395",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery,Not Available
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹46,999",4.6,8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 12MP | 12MP Front Camera,4000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹11,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.53 cm (6.9 inch) Display,50MP AI Dual Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹10,499",4.4,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
"CMF by Nothing Phone 2 Pro (Black, 256 GB)","₹19,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty
hmd 105 Dual Sim,"₹1,079",3.7,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) Display,1000 mAh Battery,SC6531E Processor,Not Available
"POCO X7 Pro 5G (Yellow, 256 GB)","₹23,999",4.4,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP | 20MP Front Camera,6550 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"POCO F7 5G (Phantom Black, 512 GB)","₹32,999",4.4,12 GB RAM | 512 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera | 20MP Front Camera,7550 mAh Li-Polymer + Silicon Carbon Battery,"Rear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recording"
"realme 15x 5G (Marine Blue, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.27 cm (6.8 inch) Display,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme 15x 5G (Aqua Blue, 128 GB)","₹17,999",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.27 cm (6.8 inch) Display,50MP Rear Camera | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)","₹26,927",4.5,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,7100 mAh Battery,Not Available
"OnePlus Nord CE5 5G (Marble Mist, 256 GB)","₹26,810",4.5,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,7100 mAh Battery,Not Available
"IQOO Neo 10 (Inferno Red, 256 GB)","₹35,879",4.6,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,7000 mAh Battery,Domestic warranty 1 year for handset and 6 months for accessories
"IQOO Neo 10 (Inferno Red, 256 GB)","₹35,879",4.6,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,7000 mAh Battery,Domestic warranty 1 year for handset and 6 months for accessories
HOTLINE ROYAL,₹480,3.6,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1.33MP Rear Camera,1100 mAh Battery,Not Available
G'Five U106,₹480,3.9,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery,Not Available
Nokia 105 Classic without Charger,"₹1,249",3.7,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,414",4.2,6 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP + 50MP | 5MP Dual Front Camera,5160 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"realme C71 (Sea Blue, 128 GB)","₹8,699",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹13,999",4.3,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
